seed,num_clusters,num_dims,spread,clf,optimal,biased,method,augmented_acc,added_points
4810,1,3,100,SVM,0.9886666666666667,0.8373333333333334,Mimic (ours),0.8586666666666667,458
4810,1,3,100,RF,0.9953333333333333,0.78,GMM,0.8353333333333334,341
4810,1,3,100,RF,0.9953333333333333,0.78,Imitate,0.906,268
4810,1,3,100,RF,0.9953333333333333,0.78,Mimic (ours),0.872,458
4345,1,3,100,DT,0.932,0.6513333333333333,GMM,0.766,371
4345,1,3,100,DT,0.932,0.6513333333333333,Imitate,0.9033333333333333,978
4345,1,3,100,DT,0.932,0.6513333333333333,Mimic (ours),0.8013333333333333,650
4345,1,3,100,SVM,0.954,0.748,GMM,0.8386666666666667,371
4345,1,3,100,SVM,0.954,0.748,Imitate,0.9326666666666666,978
4345,1,3,100,SVM,0.954,0.748,Mimic (ours),0.8726666666666667,650
4345,1,3,100,RF,0.9573333333333334,0.6333333333333333,GMM,0.7766666666666666,371
4345,1,3,100,RF,0.9573333333333334,0.6333333333333333,Imitate,0.942,978
4345,1,3,100,RF,0.9573333333333334,0.6333333333333333,Mimic (ours),0.8266666666666667,650
4618,1,3,100,DT,1.0,0.876,GMM,0.912,282
4618,1,3,100,DT,1.0,0.876,Imitate,0.9906666666666667,428
4618,1,3,100,DT,1.0,0.876,Mimic (ours),0.876,263
4618,1,3,100,SVM,1.0,0.89,GMM,0.9486666666666667,282
4618,1,3,100,SVM,1.0,0.89,Imitate,0.9993333333333333,428
4618,1,3,100,SVM,1.0,0.89,Mimic (ours),0.8906666666666667,263
4618,1,3,100,RF,1.0,0.8733333333333333,GMM,0.9066666666666666,282
4618,1,3,100,RF,1.0,0.8733333333333333,Imitate,1.0,428
